SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
788,2/05/20,Tianjin,Mainland China,2020-02-05T03:43:02,69,1,2
789,2/05/20,Guizhou,Mainland China,2020-02-05T12:33:02,64,1,9
790,2/05/20,Gansu,Mainland China,2020-02-05T16:23:06,62,0,6
791,2/05/20,Jilin,Mainland China,2020-02-05T11:03:16,54,0,2
792,2/05/20,Inner Mongolia,Mainland China,2020-02-05T08:53:02,42,0,3
793,2/05/20,Ningxia,Mainland China,2020-02-04T02:13:18,34,0,1
794,2/05/20,Xinjiang,Mainland China,2020-02-05T02:03:13,32,0,0
795,2/05/20,,Singapore,2020-02-05T16:33:03,28,0,0
796,2/05/20,,Thailand,2020-02-04T15:33:03,25,0,5
797,2/05/20,,Japan,2020-02-04T16:43:03,22,0,1
798,2/05/20,Hong Kong,Hong Kong,2020-02-05T13:13:10,21,1,0
799,2/05/20,,South Korea,2020-02-05T15:33:01,19,0,0
800,2/05/20,Qinghai,Mainland China,2020-02-05T03:13:05,17,0,3
801,2/05/20,,Germany,2020-02-03T20:53:02,12,0,0
802,2/05/20,,Malaysia,2020-02-05T15:43:02,12,0,0
803,2/05/20,Taiwan,Taiwan,2020-02-04T14:53:02,11,0,0
804,2/05/20,Macau,Macau,2020-02-04T04:43:02,10,0,0
805,2/05/20,,Vietnam,2020-02-03T21:43:02,8,0,1
806,2/05/20,,France,2020-02-01T01:52:40,6,0,0
807,2/05/20,,United Arab Emirates,2020-02-02T05:43:01,5,0,0
808,2/05/20,New South Wales,Australia,2020-02-01T18:12:49,4,0,2
809,2/05/20,Victoria,Australia,2020-02-01T18:12:49,4,0,0
810,2/05/20,Queensland,Australia,2020-02-04T16:53:03,3,0,0
811,2/05/20,,India,2020-02-03T21:43:02,3,0,0
812,2/05/20,South Australia,Australia,2020-02-02T22:33:07,2,0,0
813,2/05/20,British Columbia,Canada,2020-02-05T17:33:03,2,0,0
814,2/05/20,"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
815,2/05/20,,Italy,2020-01-31T08:15:53,2,0,0
816,2/05/20,,Philippines,2020-02-02T03:33:07,2,1,0
817,2/05/20,,Russia,2020-01-31T16:13:45,2,0,0
818,2/05/20,,UK,2020-02-01T01:52:40,2,0,0
819,2/05/20,"Chicago, IL",United States of America,2020-02-01T19:43:03,2,0,0
820,2/05/20,"San Benito, CA",United States of America,2020-02-03T03:53:02,2,0,0
821,2/05/20,"Santa Clara, CA",United States of America,2020-02-03T00:43:02,2,0,0
822,2/05/20,,Belgium,2020-02-04T15:43:02,1,0,0
823,2/05/20,,Cambodia,2020-01-31T08:15:53,1,0,0
824,2/05/20,"London, ON",Canada,2020-02-04T00:03:11,1,0,0
825,2/05/20,,Finland,2020-01-31T08:15:53,1,0,0
826,2/05/20,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
827,2/05/20,,Nepal,2020-01-31T08:15:53,1,0,0
828,2/05/20,,Spain,2020-02-01T23:43:02,1,0,0
829,2/05/20,,Sri Lanka,2020-01-31T08:15:53,1,0,0
830,2/05/20,,Sweden,2020-02-01T02:13:26,1,0,0
831,2/05/20,"Boston, MA",United States of America,2020-02-01T19:43:03,1,0,0
832,2/05/20,"Los Angeles, CA",United States of America,2020-02-01T19:53:03,1,0,0
833,2/05/20,"Madison, WI",United States of America,2020-02-05T21:53:02,1,0,0
834,2/05/20,"Orange, CA",United States of America,2020-02-01T19:53:03,1,0,0
835,2/05/20,"Seattle, WA",United States of America,2020-02-01T19:43:03,1,0,0
836,2/05/20,"Tempe, AZ",United States of America,2020-02-01T19:43:03,1,0,0
837,2/06/20,Hubei,Mainland China,2020-02-06T23:23:02,22112,618,817
838,2/06/20,Guangdong,Mainland China,2020-02-06T12:43:02,970,0,69
839,2/06/20,Zhejiang,Mainland China,2020-02-06T10:53:04,954,0,94
840,2/06/20,Henan,Mainland China,2020-02-06T11:23:14,851,2,56
841,2/06/20,Hunan,Mainland China,2020-02-06T13:13:06,711,0,81
842,2/06/20,Jiangxi,Mainland China,2020-02-06T02:33:01,600,0,37
843,2/06/20,Anhui,Mainland China,2020-02-06T13:33:02,591,0,34
844,2/06/20,Chongqing,Mainland China,2020-02-06T23:33:02,411,2,24
845,2/06/20,Jiangsu,Mainland China,2020-02-06T08:03:10,373,0,34
846,2/06/20,Shandong,Mainland China,2020-02-06T07:53:02,347,0,27
847,2/06/20,Sichuan,Mainland China,2020-02-06T08:03:10,321,1,31
848,2/06/20,Beijing,Mainland China,2020-02-06T03:23:11,274,1,31
849,2/06/20,Shanghai,Mainland China,2020-02-06T06:53:07,257,1,25
850,2/06/20,Heilongjiang,Mainland China,2020-02-06T08:13:06,227,3,8
851,2/06/20,Fujian,Mainland China,2020-02-06T11:03:19,215,0,14
852,2/06/20,Shaanxi,Mainland China,2020-02-06T13:53:02,173,0,9
853,2/06/20,Guangxi,Mainland China,2020-02-06T04:13:13,168,0,14
854,2/06/20,Hebei,Mainland China,2020-02-06T13:53:02,157,1,13
855,2/06/20,Yunnan,Mainland China,2020-02-06T09:43:02,133,0,7
856,2/06/20,Hainan,Mainland China,2020-02-06T11:13:24,106,1,8
857,2/06/20,Shanxi,Mainland China,2020-02-06T23:03:02,96,0,12
858,2/06/20,Liaoning,Mainland China,2020-02-06T14:33:02,94,0,5
859,2/06/20,Tianjin,Mainland China,2020-02-06T23:43:01,79,1,2
860,2/06/20,Guizhou,Mainland China,2020-02-06T09:53:02,71,1,6
861,2/06/20,Gansu,Mainland China,2020-02-05T16:23:06,62,0,6
862,2/06/20,Jilin,Mainland China,2020-02-06T14:23:04,59,0,4
863,2/06/20,Inner Mongolia,Mainland China,2020-02-06T02:23:08,46,0,4
864,2/06/20,,Japan,2020-02-06T02:53:03,45,0,1
865,2/06/20,Ningxia,Mainland China,2020-02-06T02:13:15,40,0,1
866,2/06/20,Xinjiang,Mainland China,2020-02-06T01:13:08,36,0,0
867,2/06/20,,Singapore,2020-02-05T16:33:03,28,0,0
868,2/06/20,,Thailand,2020-02-04T15:33:03,25,0,5
869,2/06/20,Hong Kong,Hong Kong,2020-02-06T14:43:02,24,1,0
870,2/06/20,,South Korea,2020-02-06T02:53:03,23,0,0
871,2/06/20,Qinghai,Mainland China,2020-02-06T02:13:15,18,0,3
872,2/06/20,Taiwan,Taiwan,2020-02-06T15:03:04,16,0,1
873,2/06/20,,Germany,2020-02-03T20:53:02,12,0,0
874,2/06/20,,Malaysia,2020-02-05T15:43:02,12,0,0
875,2/06/20,Macau,Macau,2020-02-06T14:23:04,10,0,1
876,2/06/20,,Vietnam,2020-02-06T01:13:08,10,0,1
877,2/06/20,,France,2020-02-01T01:52:40,6,0,0
878,2/06/20,,United Arab Emirates,2020-02-02T05:43:01,5,0,0
879,2/06/20,New South Wales,Australia,2020-02-06T03:13:22,4,0,2
880,2/06/20,Queensland,Australia,2020-02-06T02:53:03,4,0,0
881,2/06/20,Victoria,Australia,2020-02-01T18:12:49,4,0,0
882,2/06/20,,India,2020-02-03T21:43:02,3,0,0
883,2/06/20,South Australia,Australia,2020-02-02T22:33:07,2,0,0
884,2/06/20,British Columbia,Canada,2020-02-05T17:33:03,2,0,0
885,2/06/20,"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
886,2/06/20,,Italy,2020-01-31T08:15:53,2,0,0
887,2/06/20,,Philippines,2020-02-02T03:33:07,2,1,0
888,2/06/20,,Russia,2020-01-31T16:13:45,2,0,0
889,2/06/20,,UK,2020-02-01T01:52:40,2,0,0
